FunderId,Name
1,Action for A-T
2,Action for Medical Research
3,Action on Hearing Loss
4,Alzheimer's Society
5,Alzheimer's Research UK
6,Anthony Nolan
7,Arthritis Research UK
8,Asthma UK
9,Ataxia UK
10,Ataxia-Telangiectasia Society
11,Blond McIndoe Research Foundation
12,Bloodwise
13,Bone Cancer research trust
14,Bowel and Cancer Research
15,Brain Research Trust
16,Brain Tumor Research
17,British Heart Foundation
18,British Lung Foundation
19,British Sjögren's Syndrome Association
20,British Skin Foundation
21,Cancer Research UK
22,Chest Heart & Stroke Scotland
23,Childhood Eye Cancer Trust
24,Children with Cancer UK
25,Children's Liver Disease Foundation
26,Chronic Disease Research Foundation
27,Chronic Granulomatous Disorder Society
28,Core
29,Crohn's and Colitis UK
30,Crohn's in Childhood Research Association
31,Cystic Fibrosis Trust
32,DEBRA
33,Diabetes Research & Wellness Foundation
34,Diabetes UK
35,Dunhill Medical Trust
36,Epilepsy Research UK
37,Fght for sight
38,Foundation for Liver Research
39,Heart Research UK
40,JDRF
41,Kidney Research UK
42,Kids Kidney Research
43,Leuka
44,Leukaemia & Lymphoma NI
45,Ludwig Institute for Cancer Research
46,Macular Society
47,Medical Research Scotland
48,Meningitis Now
49,Meningitis Research Foundation
50,Migrane Trust
51,Motor Neurone Disease Association
52,MQ: Transforming Mental Health
53,Multiple Sclerosis Society
54,Muscular Dystrophy UK
55,Myeloma UK
56,Myrovlytis Trust
57,National Eye Research Centre
58,Neuroblastoma UK
59,Neurosciences Research Foundation
60,Niemann-Pick Research Foundation
61,North West Cancer Research
62,Novo Nordisk UK Research Foundation
63,Orthopaedic Research UK
64,Ovarian Action Now
65,Pancreatic Cancer Research Fund
66,Pancreatic Cancer UK
67,Parkinson's UK
68,Pelican Cancer Foundation
69,Prostate Cancer UK
70,Psoriasis Association
71,RAFT
72,Restore - Burn and Wound Research
73,RP Fighting Blindness
74,SMA Trust
75,South West Thames Kidney Fund
76,Sparks
77,Spinal Research
78,Target Ovarian Cancer
79,Tenovus Cancer Care
80,The Brain Tumour Charity
81,The Cure Parkinson's Trust
82,The Encephalitis Society
83,The Lullaby Trust
84,The PBC Foundation
85,The PSP Association
86,The Urology Foundation
87,Tommy's
88,Tuberous Sclerosis Association
89,Wellbeing of Women
90,WellChild
91,Wessex Medical Trust
92,William Harvey Research Foundation
93,World Cancer Research Fund
94,Yorkshire Cancer Research
95,Medical Research Council
96,Medical Research Fund
97,Arts and Humanities Research Council
98,Biotechnology and Biological Sciences Research Council
99,Engineering and Physical Sciences Research Council
100,Economic and Social Research Council
101,Natural Environment Research Council
102,Science and Technology Facilities Council
103,Wellcome Trust
104,EU Funding
105,Medical Research Foundation
106,NHS Greater Glasgow & Clyde
107,NHS Research Scotland
108,Children’s Cancer and Leukaemia Group
109,National Institute for Health Research (NIHR)
111,Clinical facility and Biomedical Research Centre at Guy’s and St Thomas’
112,NHS Foundation Trust
113,Chief Scientist Office (CSO)
114,Pfizer Ltd
